Track,Year,Driver,X,Y,Speed,DRS
Miami Grand Prix,2022,VER,1854.0955200061776,118.27726752034769,278.8555576888889,Off
Miami Grand Prix,2022,VER,1864.0,112.0,279.03333546666664,Off
Miami Grand Prix,2022,VER,1920.7895961735805,75.98303008729226,280.0,Off
Miami Grand Prix,2022,VER,2036.0,3.0,280.96111217777775,Off
Miami Grand Prix,2022,VER,2141.0267526648213,-62.88614917213596,282.0,Off
Miami Grand Prix,2022,VER,2208.0,-105.0,282.26071497142857,Off
Miami Grand Prix,2022,VER,2408.0,-231.0,282.8321435428571,Off
Miami Grand Prix,2022,VER,2447.9251448327113,-256.04575066703177,283.0,Off
Miami Grand Prix,2022,VER,2529.0,-306.0,284.9500013714286,Off
Miami Grand Prix,2022,VER,2532.1414172868654,-307.9753256770045,285.0,Off
Miami Grand Prix,2022,VER,2703.0,-416.0,285.90357211428574,Off
Miami Grand Prix,2022,VER,2722.0123820033973,-427.91353169821446,286.0,Off
Miami Grand Prix,2022,VER,2865.0,-517.0,286.76071497142857,Off
Miami Grand Prix,2022,VER,2910.0792979915786,-545.4098485520097,287.0,Off
Miami Grand Prix,2022,VER,2973.0,-585.0,287.0,Off
Miami Grand Prix,2022,VER,3045.3956838076924,-629.6809612776066,287.0,Off
Miami Grand Prix,2022,VER,3095.0,-660.0,287.18250048,Off
Miami Grand Prix,2022,VER,3273.0,-768.0,287.83250048,Off
Miami Grand Prix,2022,VER,3318.3177034500904,-795.2345196406344,288.0,Off
Miami Grand Prix,2022,VER,3383.0,-834.0,288.0,Off
Miami Grand Prix,2022,VER,3562.06652386941,-941.2674608050494,288.0,Off
Miami Grand Prix,2022,VER,3645.0,-990.0,288.40357211428574,Off
Miami Grand Prix,2022,VER,3746.521827223805,-1047.527227200831,289.0,Off
Miami Grand Prix,2022,VER,3827.0,-1091.0,287.3374976,Off
Miami Grand Prix,2022,VER,3960.6618693673176,-1160.7245053269812,285.0,Off
Miami Grand Prix,2022,VER,4044.0,-1204.0,282.135676097069,Off
Miami Grand Prix,2022,VER,4103.636571606291,-1235.2108790327152,280.0,Off
Miami Grand Prix,2022,VER,4181.0,-1276.0,267.54165973333335,Off
Miami Grand Prix,2022,VER,4261.094430744568,-1318.5307845672191,254.0,Off
Miami Grand Prix,2022,VER,4296.0,-1337.0,248.27082666666666,Off
Miami Grand Prix,2022,VER,4411.486907357156,-1397.5371568736996,229.0,Off
Miami Grand Prix,2022,VER,4420.0,-1402.0,227.17856365714286,Off
Miami Grand Prix,2022,VER,4540.0,-1465.0,198.03570651428572,Off
Miami Grand Prix,2022,VER,4552.765141804261,-1471.637161360424,195.0,Off
Miami Grand Prix,2022,VER,4657.69002980511,-1526.8879118346003,185.0,Off
Miami Grand Prix,2022,VER,4665.0,-1531.0,183.92856685714287,Off
Miami Grand Prix,2022,VER,4775.162100534235,-1601.23288047389,165.0,Off
Miami Grand Prix,2022,VER,4822.0,-1635.0,151.9218688,Off
Miami Grand Prix,2022,VER,4854.0,-1659.0,142.2343688,Off
Miami Grand Prix,2022,VER,4879.538272904019,-1678.4218457335542,134.0,Off
Miami Grand Prix,2022,VER,4921.0,-1713.0,127.56846036672806,Off
Miami Grand Prix,2022,VER,4940.125951896649,-1733.0562035091943,124.0,Off
Miami Grand Prix,2022,VER,4965.0,-1766.0,118.63999488,Off
Miami Grand Prix,2022,VER,4975.462262217635,-1783.1992387037067,116.0,Off
Miami Grand Prix,2022,VER,4995.704261327434,-1826.5056079841638,110.0,Off
Miami Grand Prix,2022,VER,4997.0,-1830.0,109.72916266666667,Off
Miami Grand Prix,2022,VER,5005.0,-1858.0,107.64582933333334,Off
Miami Grand Prix,2022,VER,5008.70200502196,-1906.8546732522618,105.0,Off
Miami Grand Prix,2022,VER,5006.0,-1974.0,101.46135970909091,Off
Miami Grand Prix,2022,VER,4994.843782301709,-2015.3146504812614,96.0,Off
Miami Grand Prix,2022,VER,4992.0,-2021.0,95.41071085714286,Off
Miami Grand Prix,2022,VER,4962.0,-2077.0,91.12499657142857,Off
Miami Grand Prix,2022,VER,4961.080465556026,-2078.5415038866113,91.0,Off
Miami Grand Prix,2022,VER,4923.0,-2131.0,90.2093744,Off
Miami Grand Prix,2022,VER,4906.670279585462,-2149.8028504361478,90.0,Off
Miami Grand Prix,2022,VER,4861.0,-2200.0,91.44166826666667,Off
Miami Grand Prix,2022,VER,4838.507538410422,-2224.060957006133,93.0,Off
Miami Grand Prix,2022,VER,4825.0,-2238.0,95.85000411428571,Off
Miami Grand Prix,2022,VER,4800.649831293957,-2263.222752772232,99.0,Off
Miami Grand Prix,2022,VER,4755.0,-2310.0,107.87500800000001,Off
Miami Grand Prix,2022,VER,4749.136463327859,-2315.897653054746,109.0,Off
Miami Grand Prix,2022,VER,4720.0,-2345.0,113.9875072,Off
Miami Grand Prix,2022,VER,4677.677643540725,-2387.9396340256603,121.0,Off
Miami Grand Prix,2022,VER,4670.0,-2396.0,121.8250048,Off
Miami Grand Prix,2022,VER,4630.158621424241,-2439.4435801289364,126.0,Off
Miami Grand Prix,2022,VER,4627.0,-2443.0,126.5281328,Off
Miami Grand Prix,2022,VER,4569.0,-2512.0,136.2781328,Off
Miami Grand Prix,2022,VER,4554.245159673117,-2531.5515663498713,139.0,Off
Miami Grand Prix,2022,VER,4525.0,-2576.0,141.4937536,Off
Miami Grand Prix,2022,VER,4518.474697091088,-2587.3342846663163,142.0,Off
Miami Grand Prix,2022,VER,4468.87110582452,-2683.9166432123725,145.0,Off
Miami Grand Prix,2022,VER,4463.0,-2696.0,145.0,Off
Miami Grand Prix,2022,VER,4446.491699277814,-2734.7490287653713,145.0,Off
Miami Grand Prix,2022,VER,4441.0,-2761.0,145.56500096,Off
Miami Grand Prix,2022,VER,4417.780033681435,-2897.618832357823,147.0,Off
Miami Grand Prix,2022,VER,4415.0,-2922.0,149.0821504,Off
Miami Grand Prix,2022,VER,4413.098071254745,-3004.618065415152,158.0,Off
Miami Grand Prix,2022,VER,4414.0,-3049.0,161.57367100716317,Off
Miami Grand Prix,2022,VER,4414.0,-3114.0,165.9623848602112,Off
Miami Grand Prix,2022,VER,4413.102495563383,-3144.619714259552,168.0,Off
Miami Grand Prix,2022,VER,4408.0,-3217.0,174.97500288,Off
Miami Grand Prix,2022,VER,4405.581261596943,-3238.0360510114306,177.0,Off
Miami Grand Prix,2022,VER,4381.0,-3369.0,183.0156264,Off
Miami Grand Prix,2022,VER,4375.228345893,-3391.4474411231768,184.0,Off
Miami Grand Prix,2022,VER,4359.0,-3449.0,189.0312528,Off
Miami Grand Prix,2022,VER,4352.60268354288,-3470.7195642802776,191.0,Off
Miami Grand Prix,2022,VER,4336.0,-3519.0,191.0,Off
Miami Grand Prix,2022,VER,4304.74952368673,-3586.6927496864305,191.0,Off
Miami Grand Prix,2022,VER,4240.0,-3705.0,191.87500032,Off
Miami Grand Prix,2022,VER,4182.868852495187,-3788.823162855921,193.0,Off
Miami Grand Prix,2022,VER,4119.177596680728,-3847.430013814458,195.0,Off
Miami Grand Prix,2022,VER,4114.0,-3852.0,195.3500032,Off
Miami Grand Prix,2022,VER,4064.0,-3895.0,198.3500032,Off
Miami Grand Prix,2022,VER,3958.9433377299038,-3972.2466778975945,204.0,Off
Miami Grand Prix,2022,VER,3933.0,-3989.0,205.76667306666667,Off
Miami Grand Prix,2022,VER,3838.0129117842534,-4044.066025080924,212.0,Off
Miami Grand Prix,2022,VER,3810.0,-4059.0,213.1357184,Off
Miami Grand Prix,2022,VER,3767.0,-4081.0,214.85000411428572,Off
Miami Grand Prix,2022,VER,3688.475150142989,-4117.075971114657,218.0,Off
Miami Grand Prix,2022,VER,3657.0,-4130.0,218.0,Off
Miami Grand Prix,2022,VER,3585.142262357002,-4157.266246346165,218.0,Off
Miami Grand Prix,2022,VER,3399.0,-4218.0,223.42143268571428,Off
Miami Grand Prix,2022,VER,3381.504741981142,-4222.845405233742,224.0,Off
Miami Grand Prix,2022,VER,3198.876274555261,-4258.933427065574,231.0,Off
Miami Grand Prix,2022,VER,3191.0,-4260.0,231.39000576,Off
Miami Grand Prix,2022,VER,3069.391632786024,-4273.350859207865,237.0,Off
Miami Grand Prix,2022,VER,3008.0,-4278.0,237.7750016,Off
Miami Grand Prix,2022,VER,2942.0,-4281.0,238.60833493333334,Off
Miami Grand Prix,2022,VER,2907.6964859388827,-4281.253428538408,239.0,Off
Miami Grand Prix,2022,VER,2709.837792616884,-4272.0275033325415,241.0,Off
Miami Grand Prix,2022,VER,2673.0,-4269.0,242.656256,Off
Miami Grand Prix,2022,VER,2611.0330384371277,-4262.3554851664285,246.0,Off
Miami Grand Prix,2022,VER,2523.0,-4247.0,248.1625024,Off
Miami Grand Prix,2022,VER,2482.2316517555514,-4238.071679173969,249.0,Off
Miami Grand Prix,2022,VER,2343.3512356049087,-4202.187066317281,252.0,Off
Miami Grand Prix,2022,VER,2307.0,-4191.0,252.73611377777777,Off
Miami Grand Prix,2022,VER,2188.0,-4148.0,255.23611377777777,Off
Miami Grand Prix,2022,VER,2104.6830305753892,-4112.011687872787,257.0,Off
Miami Grand Prix,2022,VER,2044.0,-4083.0,258.7437536,Off
Miami Grand Prix,2022,VER,1897.9324863031218,-4004.3937641688744,263.0,Off
Miami Grand Prix,2022,VER,1864.0,-3985.0,263.8833365333333,Off
Miami Grand Prix,2022,VER,1749.0,-3917.0,266.8833365333333,Off
Miami Grand Prix,2022,VER,1744.5468277147465,-3914.2879505720734,267.0,Off
Miami Grand Prix,2022,VER,1635.0,-3846.0,268.6218768,Off
Miami Grand Prix,2022,VER,1542.4441240388276,-3787.3312886841672,270.0,Off
Miami Grand Prix,2022,VER,1509.0,-3766.0,270.4416682666667,Off
Miami Grand Prix,2022,VER,1390.2824720825067,-3689.8450047397005,272.0,Off
Miami Grand Prix,2022,VER,1331.0,-3652.0,272.0,Off
Miami Grand Prix,2022,VER,1262.5218136183566,-3608.6310785533533,272.0,Off
Miami Grand Prix,2022,VER,1241.0,-3595.0,272.1375008,Off
Miami Grand Prix,2022,VER,1120.0,-3518.0,272.8916672,Off
Miami Grand Prix,2022,VER,1102.943034767381,-3507.0874333020342,273.0,Off
Miami Grand Prix,2022,VER,1001.6023014711656,-3441.9419970211775,273.0,Off
Miami Grand Prix,2022,VER,941.0,-3403.0,274.5833344,Off
Miami Grand Prix,2022,VER,846.7653951124232,-3342.623699160007,277.0,Off
Miami Grand Prix,2022,VER,824.0,-3328.0,277.2187504,Off
Miami Grand Prix,2022,VER,734.0,-3270.0,278.0937504,Off
Miami Grand Prix,2022,VER,644.8629250240433,-3212.8667189148982,279.0,Off
Miami Grand Prix,2022,VER,623.0,-3199.0,279.1093752,Off
Miami Grand Prix,2022,VER,439.0,-3084.0,279.9843752,Off
Miami Grand Prix,2022,VER,435.69092632320746,-3081.926725210922,280.0,Off
Miami Grand Prix,2022,VER,303.7977604656261,-2998.95174227834,282.0,Off
Miami Grand Prix,2022,VER,267.0,-2976.0,282.0,Off
Miami Grand Prix,2022,VER,120.0,-2885.0,282.0,Off
Miami Grand Prix,2022,VER,116.87443780546585,-2883.0328794372726,282.0,Off
Miami Grand Prix,2022,VER,-60.0,-2775.0,268.2785812595202,Off
Miami Grand Prix,2022,VER,-252.23839451589387,-2677.7221698953217,258.0,Off
Miami Grand Prix,2022,VER,-262.0,-2673.0,257.35832746666665,Off
Miami Grand Prix,2022,VER,-347.15238374733957,-2639.194698212485,247.0,Off
Miami Grand Prix,2022,VER,-362.0,-2636.0,246.4499968,Off
Miami Grand Prix,2022,VER,-511.12964375589524,-2611.0153490929333,243.0,Off
Miami Grand Prix,2022,VER,-645.0,-2599.0,238.1944391111111,Off
Miami Grand Prix,2022,VER,-743.4243069735439,-2608.327904627135,233.0,Off
Miami Grand Prix,2022,VER,-797.0,-2621.0,233.0,Off
Miami Grand Prix,2022,VER,-820.6509942443082,-2627.1851985898675,233.0,Off
Miami Grand Prix,2022,VER,-931.425954824922,-2661.277274381763,228.0,Off
Miami Grand Prix,2022,VER,-1024.0,-2706.0,228.0,Off
Miami Grand Prix,2022,VER,-1111.7489007912868,-2758.6915938045577,228.0,Off
Miami Grand Prix,2022,VER,-1166.0,-2794.0,228.60833493333334,Off
Miami Grand Prix,2022,VER,-1244.9703070014357,-2852.0694124844904,230.0,Off
Miami Grand Prix,2022,VER,-1309.0,-2909.0,230.96500096,Off
Miami Grand Prix,2022,VER,-1311.9401604992918,-2911.5270051368116,231.0,Off
Miami Grand Prix,2022,VER,-1416.0,-2997.0,224.15356525714284,Off
Miami Grand Prix,2022,VER,-1448.9671852186852,-3021.1309077233154,222.0,Off
Miami Grand Prix,2022,VER,-1533.0,-3074.0,213.3499904,Off
Miami Grand Prix,2022,VER,-1587.0381172225934,-3101.100011546341,208.0,Off
Miami Grand Prix,2022,VER,-2044.0,-3171.0,195.3988608,Off
Miami Grand Prix,2022,VER,-2057.1422183545965,-3169.174305414933,195.0,Off
Miami Grand Prix,2022,VER,-2195.0,-3126.0,196.7062512,Off
Miami Grand Prix,2022,VER,-2224.0845713104204,-3109.9555877617663,197.0,Off
Miami Grand Prix,2022,VER,-2378.7922194146167,-3005.2160433629915,200.0,Off
Miami Grand Prix,2022,VER,-2393.0,-2995.0,200.47143131428572,Off
Miami Grand Prix,2022,VER,-2439.461347748264,-2955.7763382065395,204.0,Off
Miami Grand Prix,2022,VER,-2503.0,-2889.0,206.8250048,Off
Miami Grand Prix,2022,VER,-2687.2781556921286,-2698.519733807841,211.0,Off
Miami Grand Prix,2022,VER,-2736.0,-2650.0,212.1812528,Off
Miami Grand Prix,2022,VER,-2818.0,-2581.0,216.1187528,Off
Miami Grand Prix,2022,VER,-2856.5670318221323,-2554.512943878852,218.0,Off
Miami Grand Prix,2022,VER,-2949.0,-2499.0,218.0,Off
Miami Grand Prix,2022,VER,-3071.0,-2450.0,218.0,Off
Miami Grand Prix,2022,VER,-3073.761245399969,-2449.1505082310364,218.0,Off
Miami Grand Prix,2022,VER,-3162.02571544236,-2427.997797266582,217.0,Off
Miami Grand Prix,2022,VER,-3182.0,-2425.0,216.8541664,Off
Miami Grand Prix,2022,VER,-3277.0,-2419.0,216.18749973333334,Off
Miami Grand Prix,2022,VER,-3303.9300596158623,-2419.665896561889,216.0,Off
Miami Grand Prix,2022,VER,-3420.0,-2434.0,213.2142848,Off
Miami Grand Prix,2022,VER,-3470.0341493471537,-2445.471108507363,212.0,Off
Miami Grand Prix,2022,VER,-3571.0,-2476.0,209.08333226666667,Off
Miami Grand Prix,2022,VER,-3607.321367625134,-2488.1700393230726,208.0,Off
Miami Grand Prix,2022,VER,-3736.695968207415,-2537.7890239824287,205.0,Off
Miami Grand Prix,2022,VER,-3744.0,-2541.0,205.0437504,Off
Miami Grand Prix,2022,VER,-3846.0,-2592.0,205.6687504,Off
Miami Grand Prix,2022,VER,-3898.391635339068,-2624.5695014814605,206.0,Off
Miami Grand Prix,2022,VER,-3950.0,-2660.0,204.234372,Off
Miami Grand Prix,2022,VER,-4034.0255601817507,-2728.1043408482624,201.0,Off
Miami Grand Prix,2022,VER,-4052.0,-2747.0,199.2124896,Off
Miami Grand Prix,2022,VER,-4154.0,-2866.0,190.54582293333334,Off
Miami Grand Prix,2022,VER,-4175.817657077806,-2892.7446950153394,188.0,Off
Miami Grand Prix,2022,VER,-4228.0,-2981.0,172.74090123636364,Off
Miami Grand Prix,2022,VER,-4242.908578635791,-3008.699631041709,170.0,Off
Miami Grand Prix,2022,VER,-4250.0,-3022.0,167.937488,Off
Miami Grand Prix,2022,VER,-4269.062954862221,-3060.5981242058906,160.0,Off
Miami Grand Prix,2022,VER,-4283.0,-3093.0,156.04499328,Off
Miami Grand Prix,2022,VER,-4296.382538930866,-3125.277351498271,153.0,Off
Miami Grand Prix,2022,VER,-4321.0,-3188.0,149.72142445714286,Off
Miami Grand Prix,2022,VER,-4335.989110005449,-3232.1537664719363,147.0,Off
Miami Grand Prix,2022,VER,-4349.0,-3289.0,144.5062464,Off
Miami Grand Prix,2022,VER,-4351.682299170512,-3304.330443944892,144.0,Off
Miami Grand Prix,2022,VER,-4367.0,-3412.0,139.6749952,Off
Miami Grand Prix,2022,VER,-4370.791779200741,-3459.9207175305933,135.0,Off
Miami Grand Prix,2022,VER,-4369.0,-3486.0,132.33999616,Off
Miami Grand Prix,2022,VER,-4367.7358032653265,-3506.9117275346116,131.0,Off
Miami Grand Prix,2022,VER,-4363.0,-3566.0,130.23499904,Off
Miami Grand Prix,2022,VER,-4360.604991599276,-3583.623936667873,130.0,Off
Miami Grand Prix,2022,VER,-4349.03160959467,-3640.406191927453,130.0,Off
Miami Grand Prix,2022,VER,-4335.0,-3690.0,127.4499968,Off
Miami Grand Prix,2022,VER,-4326.21694400904,-3716.1352634018394,126.0,Off
Miami Grand Prix,2022,VER,-4308.0,-3754.0,126.62777884444445,Off
Miami Grand Prix,2022,VER,-4231.0,-3860.0,127.96111217777778,Off
Miami Grand Prix,2022,VER,-4229.029095855684,-3862.35226821946,128.0,Off
Miami Grand Prix,2022,VER,-4195.010949306808,-3896.600151390985,129.0,Off
Miami Grand Prix,2022,VER,-4171.776848987477,-3905.73012565323,129.0,Off
Miami Grand Prix,2022,VER,-4151.0,-3914.0,130.1625024,Off
Miami Grand Prix,2022,VER,-4104.471530403442,-3931.272591357642,132.0,Off
Miami Grand Prix,2022,VER,-4090.0,-3934.0,132.8250048,Off
Miami Grand Prix,2022,VER,-3950.435940748599,-3934.37936829324,139.0,Off
Miami Grand Prix,2022,VER,-3945.0,-3934.0,139.27857554285714,Off
Miami Grand Prix,2022,VER,-3883.0,-3922.0,144.8714313142857,Off
Miami Grand Prix,2022,VER,-3881.229854239187,-3921.5322420271855,145.0,Off
Miami Grand Prix,2022,VER,-3766.0,-3893.0,150.8714313142857,Off
Miami Grand Prix,2022,VER,-3763.327783932577,-3892.399294741282,151.0,Off
Miami Grand Prix,2022,VER,-3661.0,-3872.0,161.06451932570167,Off
Miami Grand Prix,2022,VER,-3640.610991977779,-3868.492231420839,163.0,Off
Miami Grand Prix,2022,VER,-3578.0,-3859.0,167.50000213333334,Off
Miami Grand Prix,2022,VER,-3529.1839461658537,-3853.4625010180534,171.0,Off
Miami Grand Prix,2022,VER,-3455.0,-3848.0,179.7187536,Off
Miami Grand Prix,2022,VER,-3452.508073546058,-3847.8679621982355,180.0,Off
